2024-05-30 16:23:10,777 - Total number of samples: 875
2024-05-30 16:23:13,812 - Epoch: 1
2024-05-30 16:23:13,813 - Current Learning Rate: [0.01]
2024-05-30 16:24:34,667 - Batch [23 / 27], Loss: 15.693116
2024-05-30 16:24:35,272 - Batch [24 / 27], Loss: 13.799356
2024-05-30 16:24:35,883 - Batch [25 / 27], Loss: 13.411682
2024-05-30 16:24:36,485 - Batch [26 / 27], Loss: 14.365131
2024-05-30 16:24:37,095 - Batch [27 / 27], Loss: 13.446825
2024-05-30 16:24:37,119 - Epoch Time: 0.2734675407409668 minutes
2024-05-30 16:24:37,119 - Epoch: 6
2024-05-30 16:24:37,119 - Current Learning Rate: [0.01]
2024-05-30 16:24:37,701 - Batch [1 / 27], Loss: 11.618056
2024-05-30 16:24:38,306 - Batch [2 / 27], Loss: 13.765965
2024-05-30 16:24:38,912 - Batch [3 / 27], Loss: 14.360693
2024-05-30 16:24:39,519 - Batch [4 / 27], Loss: 14.102621
2024-05-30 16:24:40,126 - Batch [5 / 27], Loss: 12.773789
2024-05-30 16:24:40,736 - Batch [6 / 27], Loss: 13.137895
2024-05-30 16:24:41,345 - Batch [7 / 27], Loss: 13.852345
2024-05-30 16:24:41,949 - Batch [8 / 27], Loss: 13.813308
2024-05-30 16:24:42,557 - Batch [9 / 27], Loss: 16.481871
2024-05-30 16:24:43,163 - Batch [10 / 27], Loss: 14.110649
2024-05-30 16:24:43,769 - Batch [11 / 27], Loss: 17.199453
2024-05-30 16:24:44,379 - Batch [12 / 27], Loss: 12.218511
2024-05-30 16:24:44,987 - Batch [13 / 27], Loss: 15.829550
2024-05-30 16:24:45,594 - Batch [14 / 27], Loss: 16.229031
2024-05-30 16:24:46,210 - Batch [15 / 27], Loss: 16.740173
2024-05-30 16:24:46,814 - Batch [16 / 27], Loss: 12.332417
2024-05-30 16:24:47,425 - Batch [17 / 27], Loss: 15.506516
2024-05-30 16:24:48,037 - Batch [18 / 27], Loss: 12.703256
2024-05-30 16:24:48,642 - Batch [19 / 27], Loss: 13.659122
2024-05-30 16:24:49,253 - Batch [20 / 27], Loss: 12.964940
2024-05-30 16:24:49,867 - Batch [21 / 27], Loss: 11.157719
2024-05-30 16:24:50,471 - Batch [22 / 27], Loss: 12.809620
2024-05-30 16:24:51,084 - Batch [23 / 27], Loss: 12.133922
2024-05-30 16:24:51,697 - Batch [24 / 27], Loss: 13.562716
2024-05-30 16:24:52,302 - Batch [25 / 27], Loss: 19.726723
2024-05-30 16:24:52,914 - Batch [26 / 27], Loss: 12.510324
2024-05-30 16:24:53,520 - Batch [27 / 27], Loss: 13.834991
2024-05-30 16:24:53,544 - Epoch Time: 0.2737440586090088 minutes
2024-05-30 16:24:53,544 - Epoch: 7
2024-05-30 16:24:53,544 - Current Learning Rate: [0.01]
2024-05-30 16:24:54,130 - Batch [1 / 27], Loss: 14.375271
2024-05-30 16:24:54,743 - Batch [2 / 27], Loss: 11.114606
2024-05-30 16:24:55,348 - Batch [3 / 27], Loss: 14.329278
2024-05-30 16:24:55,962 - Batch [4 / 27], Loss: 11.878633
2024-05-30 16:24:56,573 - Batch [5 / 27], Loss: 14.685400
2024-05-30 16:24:57,178 - Batch [6 / 27], Loss: 11.841943
2024-05-30 16:24:57,791 - Batch [7 / 27], Loss: 14.906950
2024-05-30 16:24:58,405 - Batch [8 / 27], Loss: 13.666575
2024-05-30 16:24:59,008 - Batch [9 / 27], Loss: 15.697562
2024-05-30 16:24:59,622 - Batch [10 / 27], Loss: 14.234506
2024-05-30 16:25:00,235 - Batch [11 / 27], Loss: 11.248096
2024-05-30 16:25:00,840 - Batch [12 / 27], Loss: 16.137772
2024-05-30 16:25:01,451 - Batch [13 / 27], Loss: 14.802983
2024-05-30 16:25:02,066 - Batch [14 / 27], Loss: 14.010375
2024-05-30 16:25:02,669 - Batch [15 / 27], Loss: 14.863133
2024-05-30 16:25:03,284 - Batch [16 / 27], Loss: 12.019893
2024-05-30 16:25:03,889 - Batch [17 / 27], Loss: 11.491383
2024-05-30 16:25:04,499 - Batch [18 / 27], Loss: 10.386651
2024-05-30 16:25:05,111 - Batch [19 / 27], Loss: 13.540610
2024-05-30 16:25:05,726 - Batch [20 / 27], Loss: 15.727732
2024-05-30 16:25:06,330 - Batch [21 / 27], Loss: 15.944009
2024-05-30 16:25:06,945 - Batch [22 / 27], Loss: 13.002774
2024-05-30 16:25:07,550 - Batch [23 / 27], Loss: 18.335905
2024-05-30 16:25:08,163 - Batch [24 / 27], Loss: 14.083487
2024-05-30 16:25:08,776 - Batch [25 / 27], Loss: 14.030885
2024-05-30 16:25:09,381 - Batch [26 / 27], Loss: 13.606379
2024-05-30 16:25:09,993 - Batch [27 / 27], Loss: 14.516839
2024-05-30 16:25:10,017 - Epoch Time: 0.2745469530423482 minutes
2024-05-30 16:25:10,017 - Epoch: 8
2024-05-30 16:25:10,017 - Current Learning Rate: [0.01]
2024-05-30 16:25:10,608 - Batch [1 / 27], Loss: 14.731853
2024-05-30 16:25:11,212 - Batch [2 / 27], Loss: 13.500910
2024-05-30 16:25:11,826 - Batch [3 / 27], Loss: 16.022154
2024-05-30 16:25:12,431 - Batch [4 / 27], Loss: 14.062366
2024-05-30 16:25:13,043 - Batch [5 / 27], Loss: 12.567389
2024-05-30 16:25:13,657 - Batch [6 / 27], Loss: 16.492292
2024-05-30 16:25:14,260 - Batch [7 / 27], Loss: 12.700164
2024-05-30 16:25:14,875 - Batch [8 / 27], Loss: 11.637975
2024-05-30 16:25:15,478 - Batch [9 / 27], Loss: 14.588253
2024-05-30 16:25:16,092 - Batch [10 / 27], Loss: 12.656041
2024-05-30 16:25:16,709 - Batch [11 / 27], Loss: 12.118516
2024-05-30 16:25:17,315 - Batch [12 / 27], Loss: 13.076406
2024-05-30 16:25:17,929 - Batch [13 / 27], Loss: 13.508405
2024-05-30 16:25:18,539 - Batch [14 / 27], Loss: 11.974892
2024-05-30 16:25:19,150 - Batch [15 / 27], Loss: 13.425398
2024-05-30 16:25:19,766 - Batch [16 / 27], Loss: 12.546283
2024-05-30 16:25:20,368 - Batch [17 / 27], Loss: 15.027802
2024-05-30 16:25:20,984 - Batch [18 / 27], Loss: 14.133060
2024-05-30 16:25:21,598 - Batch [19 / 27], Loss: 11.570676
2024-05-30 16:25:22,204 - Batch [20 / 27], Loss: 11.048348
2024-05-30 16:25:22,813 - Batch [21 / 27], Loss: 15.580209
2024-05-30 16:25:23,416 - Batch [22 / 27], Loss: 14.167067
2024-05-30 16:25:24,029 - Batch [23 / 27], Loss: 12.808345
2024-05-30 16:25:24,641 - Batch [24 / 27], Loss: 17.223951
2024-05-30 16:25:25,247 - Batch [25 / 27], Loss: 13.063890
2024-05-30 16:25:25,854 - Batch [26 / 27], Loss: 12.738082
2024-05-30 16:25:26,469 - Batch [27 / 27], Loss: 13.583445
2024-05-30 16:25:26,493 - Epoch Time: 0.27460357348124187 minutes
2024-05-30 16:25:26,494 - Epoch: 9
2024-05-30 16:25:26,494 - Current Learning Rate: [0.01]
2024-05-30 16:25:27,073 - Batch [1 / 27], Loss: 13.392630
2024-05-30 16:25:27,689 - Batch [2 / 27], Loss: 16.543650
2024-05-30 16:25:28,307 - Batch [3 / 27], Loss: 11.446473
2024-05-30 16:25:28,912 - Batch [4 / 27], Loss: 11.638720
2024-05-30 16:25:29,526 - Batch [5 / 27], Loss: 14.145368
2024-05-30 16:25:30,140 - Batch [6 / 27], Loss: 12.125600
2024-05-30 16:25:30,746 - Batch [7 / 27], Loss: 12.318489
2024-05-30 16:25:31,354 - Batch [8 / 27], Loss: 10.733597
2024-05-30 16:25:31,962 - Batch [9 / 27], Loss: 12.413513
2024-05-30 16:25:32,573 - Batch [10 / 27], Loss: 12.002368
2024-05-30 16:25:33,188 - Batch [11 / 27], Loss: 11.899950
2024-05-30 16:25:33,793 - Batch [12 / 27], Loss: 10.551167
2024-05-30 16:25:34,409 - Batch [13 / 27], Loss: 11.745053
2024-05-30 16:25:35,020 - Batch [14 / 27], Loss: 11.869732
2024-05-30 16:25:35,628 - Batch [15 / 27], Loss: 10.436930
2024-05-30 16:25:36,241 - Batch [16 / 27], Loss: 9.417155
2024-05-30 16:25:36,847 - Batch [17 / 27], Loss: 13.080504
2024-05-30 16:25:37,457 - Batch [18 / 27], Loss: 11.466004
2024-05-30 16:25:38,074 - Batch [19 / 27], Loss: 9.630042
2024-05-30 16:25:38,678 - Batch [20 / 27], Loss: 10.796977
2024-05-30 16:25:39,292 - Batch [21 / 27], Loss: 9.903676
2024-05-30 16:25:39,905 - Batch [22 / 27], Loss: 11.567442
2024-05-30 16:25:40,511 - Batch [23 / 27], Loss: 10.876232
2024-05-30 16:25:41,126 - Batch [24 / 27], Loss: 10.779521
2024-05-30 16:25:41,739 - Batch [25 / 27], Loss: 12.622122
2024-05-30 16:25:42,344 - Batch [26 / 27], Loss: 10.503817
2024-05-30 16:25:42,953 - Batch [27 / 27], Loss: 13.234999
2024-05-30 16:25:42,976 - Epoch Time: 0.274705708026886 minutes
2024-05-30 16:25:42,976 - Epoch: 10
2024-05-30 16:25:42,976 - Current Learning Rate: [0.0025]
2024-05-30 16:25:43,559 - Batch [1 / 27], Loss: 11.578026
2024-05-30 16:25:44,170 - Batch [2 / 27], Loss: 9.818830
2024-05-30 16:25:44,785 - Batch [3 / 27], Loss: 10.225628
2024-05-30 16:25:45,389 - Batch [4 / 27], Loss: 9.408870
2024-05-30 16:25:46,004 - Batch [5 / 27], Loss: 10.163226
2024-05-30 16:25:46,620 - Batch [6 / 27], Loss: 11.277691
2024-05-30 16:25:47,226 - Batch [7 / 27], Loss: 8.944542
2024-05-30 16:25:47,840 - Batch [8 / 27], Loss: 11.739098
2024-05-30 16:25:48,445 - Batch [9 / 27], Loss: 10.647243
2024-05-30 16:25:49,059 - Batch [10 / 27], Loss: 10.909409
2024-05-30 16:25:49,673 - Batch [11 / 27], Loss: 9.224171
2024-05-30 16:25:50,281 - Batch [12 / 27], Loss: 11.642482
2024-05-30 16:25:50,894 - Batch [13 / 27], Loss: 9.524574
2024-05-30 16:25:51,513 - Batch [14 / 27], Loss: 10.934866
2024-05-30 16:25:52,118 - Batch [15 / 27], Loss: 9.417847
2024-05-30 16:25:52,734 - Batch [16 / 27], Loss: 11.239358
2024-05-30 16:25:53,348 - Batch [17 / 27], Loss: 11.174294
2024-05-30 16:25:53,954 - Batch [18 / 27], Loss: 9.186798
2024-05-30 16:25:54,568 - Batch [19 / 27], Loss: 8.729759
2024-05-30 16:25:55,182 - Batch [20 / 27], Loss: 10.996229
2024-05-30 16:25:55,788 - Batch [21 / 27], Loss: 9.966468
2024-05-30 16:25:56,400 - Batch [22 / 27], Loss: 11.192814
2024-05-30 16:25:57,017 - Batch [23 / 27], Loss: 9.885340
2024-05-30 16:25:57,622 - Batch [24 / 27], Loss: 10.565026
2024-05-30 16:25:58,235 - Batch [25 / 27], Loss: 8.422783
2024-05-30 16:25:58,851 - Batch [26 / 27], Loss: 9.142597
2024-05-30 16:25:59,455 - Batch [27 / 27], Loss: 11.877426
2024-05-30 16:25:59,478 - Epoch Time: 0.2750206828117371 minutes
2024-05-30 16:25:59,478 - Epoch: 11
2024-05-30 16:25:59,478 - Current Learning Rate: [0.005]
2024-05-30 16:26:00,071 - Batch [1 / 27], Loss: 11.009447
2024-05-30 16:26:00,687 - Batch [2 / 27], Loss: 9.666671
2024-05-30 16:26:01,292 - Batch [3 / 27], Loss: 11.120771
2024-05-30 16:26:01,908 - Batch [4 / 27], Loss: 8.087934
2024-05-30 16:26:02,514 - Batch [5 / 27], Loss: 9.550639
2024-05-30 16:26:03,128 - Batch [6 / 27], Loss: 9.524280
2024-05-30 16:26:03,742 - Batch [7 / 27], Loss: 9.850504
2024-05-30 16:26:04,359 - Batch [8 / 27], Loss: 8.500043
2024-05-30 16:26:04,964 - Batch [9 / 27], Loss: 11.083454
2024-05-30 16:26:05,579 - Batch [10 / 27], Loss: 10.447096
2024-05-30 16:26:06,185 - Batch [11 / 27], Loss: 10.510236
2024-05-30 16:26:06,799 - Batch [12 / 27], Loss: 9.902295
2024-05-30 16:26:07,413 - Batch [13 / 27], Loss: 8.700482
2024-05-30 16:26:08,019 - Batch [14 / 27], Loss: 11.041028
2024-05-30 16:26:08,632 - Batch [15 / 27], Loss: 8.639148
2024-05-30 16:26:09,249 - Batch [16 / 27], Loss: 11.797059
2024-05-30 16:26:09,855 - Batch [17 / 27], Loss: 9.195680
2024-05-30 16:26:10,474 - Batch [18 / 27], Loss: 10.094019
2024-05-30 16:26:11,079 - Batch [19 / 27], Loss: 10.929177
2024-05-30 16:26:11,697 - Batch [20 / 27], Loss: 11.290575
2024-05-30 16:26:12,311 - Batch [21 / 27], Loss: 11.956562
2024-05-30 16:26:12,917 - Batch [22 / 27], Loss: 13.203398
2024-05-30 16:26:13,533 - Batch [23 / 27], Loss: 10.955770
2024-05-30 16:26:14,146 - Batch [24 / 27], Loss: 9.437235
2024-05-30 16:26:14,753 - Batch [25 / 27], Loss: 8.584865
2024-05-30 16:26:15,368 - Batch [26 / 27], Loss: 8.820033
2024-05-30 16:26:15,982 - Batch [27 / 27], Loss: 9.134082
2024-05-30 16:26:16,007 - Epoch Time: 0.27548126777013143 minutes
2024-05-30 16:26:16,007 - Epoch: 12
2024-05-30 16:26:16,007 - Current Learning Rate: [0.005]
2024-05-30 16:26:16,589 - Batch [1 / 27], Loss: 9.259269
2024-05-30 16:26:17,204 - Batch [2 / 27], Loss: 11.458695
2024-05-30 16:26:17,811 - Batch [3 / 27], Loss: 10.020544
2024-05-30 16:26:18,424 - Batch [4 / 27], Loss: 10.304238
2024-05-30 16:26:19,038 - Batch [5 / 27], Loss: 8.467443
2024-05-30 16:26:19,643 - Batch [6 / 27], Loss: 11.609385
2024-05-30 16:26:20,257 - Batch [7 / 27], Loss: 8.544153
2024-05-30 16:26:20,875 - Batch [8 / 27], Loss: 10.096577
2024-05-30 16:26:21,478 - Batch [9 / 27], Loss: 7.486688
2024-05-30 16:26:22,093 - Batch [10 / 27], Loss: 10.162965
2024-05-30 16:26:22,707 - Batch [11 / 27], Loss: 7.851002
2024-05-30 16:26:23,314 - Batch [12 / 27], Loss: 12.158152
2024-05-30 16:26:23,929 - Batch [13 / 27], Loss: 10.503517
2024-05-30 16:26:24,534 - Batch [14 / 27], Loss: 11.207911
2024-05-30 16:26:25,156 - Batch [15 / 27], Loss: 9.995999
2024-05-30 16:26:25,770 - Batch [16 / 27], Loss: 9.692424
2024-05-30 16:26:26,375 - Batch [17 / 27], Loss: 8.806470
2024-05-30 16:26:26,989 - Batch [18 / 27], Loss: 10.672418
2024-05-30 16:26:27,594 - Batch [19 / 27], Loss: 9.290172
2024-05-30 16:26:28,208 - Batch [20 / 27], Loss: 10.706082
2024-05-30 16:26:28,822 - Batch [21 / 27], Loss: 11.177226
2024-05-30 16:26:29,428 - Batch [22 / 27], Loss: 8.896281
2024-05-30 16:26:30,041 - Batch [23 / 27], Loss: 9.138887
2024-05-30 16:26:30,655 - Batch [24 / 27], Loss: 9.000203
2024-05-30 16:26:31,261 - Batch [25 / 27], Loss: 11.080796
2024-05-30 16:26:31,875 - Batch [26 / 27], Loss: 11.614515
2024-05-30 16:26:32,488 - Batch [27 / 27], Loss: 8.804166
2024-05-30 16:26:32,511 - Epoch Time: 0.2750655690828959 minutes
2024-05-30 16:26:32,511 - Epoch: 13
2024-05-30 16:26:32,511 - Current Learning Rate: [0.005]
2024-05-30 16:26:33,094 - Batch [1 / 27], Loss: 9.863883
2024-05-30 16:26:33,708 - Batch [2 / 27], Loss: 9.552607
2024-05-30 16:26:34,322 - Batch [3 / 27], Loss: 7.884478
2024-05-30 16:26:34,927 - Batch [4 / 27], Loss: 9.438763
2024-05-30 16:26:35,539 - Batch [5 / 27], Loss: 10.471839
2024-05-30 16:26:36,159 - Batch [6 / 27], Loss: 10.972076
2024-05-30 16:26:36,764 - Batch [7 / 27], Loss: 7.287581
2024-05-30 16:26:37,380 - Batch [8 / 27], Loss: 10.248380
2024-05-30 16:26:37,994 - Batch [9 / 27], Loss: 9.264672
2024-05-30 16:26:38,601 - Batch [10 / 27], Loss: 9.253787
2024-05-30 16:26:39,211 - Batch [11 / 27], Loss: 10.480682
2024-05-30 16:26:39,817 - Batch [12 / 27], Loss: 12.056857
2024-05-30 16:26:40,431 - Batch [13 / 27], Loss: 8.591392
2024-05-30 16:26:41,045 - Batch [14 / 27], Loss: 8.728119
2024-05-30 16:26:41,651 - Batch [15 / 27], Loss: 8.809318
2024-05-30 16:26:42,266 - Batch [16 / 27], Loss: 10.218596
2024-05-30 16:26:42,882 - Batch [17 / 27], Loss: 8.917800
2024-05-30 16:26:43,487 - Batch [18 / 27], Loss: 10.332467
2024-05-30 16:26:44,101 - Batch [19 / 27], Loss: 10.700868
2024-05-30 16:26:44,716 - Batch [20 / 27], Loss: 9.216656
2024-05-30 16:26:45,326 - Batch [21 / 27], Loss: 9.844713
2024-05-30 16:26:45,940 - Batch [22 / 27], Loss: 9.651536
2024-05-30 16:26:46,554 - Batch [23 / 27], Loss: 9.145802
2024-05-30 16:26:47,160 - Batch [24 / 27], Loss: 8.849638
2024-05-30 16:26:47,775 - Batch [25 / 27], Loss: 9.428293
2024-05-30 16:26:48,382 - Batch [26 / 27], Loss: 10.189641
2024-05-30 16:26:48,993 - Batch [27 / 27], Loss: 10.724500
2024-05-30 16:26:49,016 - Epoch Time: 0.2750789721806844 minutes
2024-05-30 16:26:49,017 - Epoch: 14
2024-05-30 16:26:49,017 - Current Learning Rate: [0.005]
